text,label
Finally found a weapon class that clicks for me (Slosher) and now I can't stop winning.,positive
Can someone explain the Splatfest team distribution? How are teams balanced?,neutral
The seasonal rank reset is discouraging. I don't want to reclimb from scratch every three months.,negative
Any tips for finding a good main weapon as a total beginner?,neutral
Why does the lobby take so long to find an even match? The algorithm is clearly broken.,negative
Got banned from ranked for disconnecting during a match that the server dropped. Not my fault.,negative
Playing Splatoon with friends on a big screen is just pure joy every time.,positive
Splatfest was an absolute blast this time around. My team had the best synergy we've ever had.,positive
Got triple the expected salmon run points in one night. God tier session.,positive
Splatoon proves that you don't need to be a shooter fan to love a shooter. It's so accessible.,positive
What are the recommended settings for motion controls? I keep overshooting.,neutral
How does competitive Splatoon work? Is there a league or circuit?,neutral
The stringer hitbox is inconsistent and it has been since launch. Nobody has fixed it.,negative
The splatfest voting system is so unfair. One side gets way more players and steamrolls.,negative
How long does it usually take to rank up from C to B if you play daily?,neutral
How does the ranked matchmaking decide who you play against?,neutral
Roller mains rise up — just went 19-2 in anarchy and it felt so clean.,positive
Why doesn't Nintendo show us ban statistics? Transparency would build trust.,negative
The freshness system is such a good incentive to keep playing. Always something to work toward.,positive
Splatoon 3 honestly has some of the best music in any game I've played. Anarchy Rainbow goes crazy.,positive
Are there specific weapons that counter Tri-Stringer effectively?,neutral
This game genuinely never gets old for me. 500 hours in and I'm still discovering new tech.,positive
"The game runs really smoothly now compared to launch. Whatever they patched, good job.",positive
I keep getting paired with players way outside my skill level. Matchmaking is broken.,negative
What's the current season end date? Don't want to miss catalog rewards.,neutral
What's a good way to warm up before jumping into ranked matches?,neutral
Finally got the golden toaster in Salmon Run. Only took me approximately forever.,positive
The ranked match penalty for leaving is too harsh when the game itself causes disconnects.,negative
The new map layout is chef's kiss. So many angles to work with on Mincemeat Metalworks now.,positive
How do I read the map in Turf War to figure out where to go?,neutral
Tableturf Battle is so underrated. I've spent hours on it and barely touched ranked.,positive
The voice lines get repetitive extremely fast. Give us more variety Nintendo.,negative
Octoling customization is genuinely so good. I've spent more time in the lobby than actually playing.,positive
New song in the lobby is an absolute bop. Idk who composes for this game but they need a raise.,positive
How does the freshness system affect what you unlock?,neutral
Why does Splat Zones always devolve into just camping the zone? The mode design is flawed.,negative
Stringer weapons are so fun to play. The angles you can create are wild.,positive
Is it better to push or hold in Splat Zones when you're already winning?,neutral
Anniversary celebration event was so fun. Brought back so many good memories.,positive
Is there a way to report players directly from the match results screen?,neutral
Can you transfer save data between Switch consoles for Splatoon 3?,neutral
Just unlocked all 20 catalog levels on a new season. Time well spent.,positive
Just got my first Splatfest win and my team went absolutely insane in voice chat lmao,positive
Does gear ability stacking work linearly or does it have diminishing returns?,neutral
Does the catalog expire or can you finish it after the season ends?,neutral
Finished my first Big Run at gold tier. Felt incredible with randoms.,positive
The UI is cluttered and hard to navigate quickly. Needs a redesign.,negative
Map voting would improve this game so much. I hate being stuck on a map I dislike.,negative
Tower Control on this map is just not fun. Whoever designed this layout needs feedback.,negative
My team has carried me to wins I didn't deserve but also vice versa. Solo queue is a nightmare.,negative
The ink coverage scoring feels arbitrary sometimes. Lost a turf war I clearly won visually.,negative
Catalog grinding is a chore at this point. The rewards aren't worth the time investment.,negative
The Splatfest rewards were disappointing this time around. Barely worth participating.,negative
How many Splatfest points do you need to get top 100?,neutral
Catalogued the hardest Tableturf card deck and beat the final boss first try. So satisfying.,positive
"Just hit S+ for the first time ever!! I can't believe it, been grinding for weeks. This game is incredible.",positive
What's the meta for Splat Zones in the current season?,neutral
What is the purpose of the squid research lab in single player?,neutral
Big run rewards were actually so generous this time. Got like 4 gold scales.,positive
Why does every season relock my ranked division? I have to reclimb every few months.,negative
Why do certain stages always appear in the worst possible mode combos?,negative
The atmosphere during a Splatfest is genuinely unlike anything else in gaming.,positive
Can someone link me a beginner guide for Salmon Run? Never tried it.,neutral
Is Tri-Color Turf War only available during Splatfests?,neutral
Can someone explain the difference between regular and anarchy battle progression?,neutral
Lost my rank because of a disconnect that wasn't my fault. The penalty system is stupid.,negative
I've reported the same cheater three times this week and they're still in lobbies.,negative
Coming back after a long break and forgot how much fun this game is. Turf War hits different.,positive
The new special weapon is so satisfying to land. Completely turned a match around solo.,positive
How often does Nintendo typically release new weapons?,neutral
Is the Splatoon 3 expansion pass worth buying for someone who loves lore?,neutral
What's a reasonable expectation for rank when starting competitive play?,neutral
The competitive meta keeps evolving and I love how much depth there is to discover.,positive
Stale meta right now. Tri-Stringer and Splattershot are everywhere and it's boring.,negative
How do you access the map rotation schedule in advance?,neutral
The level design in this game's single player is genuinely inspired. Shoutout the devs.,positive
Server maintenance happened right in the middle of my ranked session. Lost progress.,negative
The amount of hackers in X Battle is getting ridiculous. Nintendo doesn't care.,negative
The seasonal updates keep this game feeling fresh. Really impressive content support.,positive
Does the in-game friend system let you join their lobby directly?,neutral
The recent balance patch made things worse somehow. The dev team is not listening to players.,negative
The ink tank capacity difference between weapons is too extreme. Need rebalancing.,negative
Lost all my rank progress because Nintendo's servers crashed. Zero compensation.,negative
What's the current best weapon for ranked Clam Blitz? Looking to switch mains.,neutral
Can someone explain how Salmon Run scaling works for higher hazard levels?,neutral
My friends who don't play games got into Splatoon at a party and now they want Switch consoles lol.,positive
The lore drop in the latest splatfest cutscene was insane. Theory crafters are eating.,positive
How long does a typical Splatfest last? First time participating.,neutral
New maps keep recycling old design elements. Lacks creativity at this point.,negative
What's the purpose of the Splatsville stores beyond cosmetics?,neutral
Playing Splatoon in handheld mode on a long trip was the best decision I ever made.,positive
The map rotation is so bad this week. Same four stages on repeat for days.,negative
How do I find a consistent team for scrimmages? Struggling to find people.,neutral
Ranked matchmaking puts me with disconnected players so often it feels intentional.,negative
What's the best strategy for dealing with a campy charger on Tower Control?,neutral
Lost 6 ranked matches in a row due to teammates disconnecting. This is unacceptable.,negative
Playing Salmon Run with randoms who actually know what they're doing is peak gaming.,positive
How do ability chunks work and is it worth rerolling gear?,neutral
New season pass feels like less content for the same price. Classic Nintendo.,negative
The new season's ranked stages are genuinely fun. Someone at Nintendo understands map design.,positive
Anyone know if they added new catalog items in the latest patch?,neutral
Just unlocked all catalog rewards and I'm genuinely proud of myself lol,positive
New ranked stage is really well designed. Love the vertical play opportunities.,positive
Are there any good YouTube channels that cover Splatoon strategy?,neutral
Region lock makes matchmaking take forever during certain hours. Not acceptable.,negative
Why can't we see our own stats? Other games have this basic feature.,negative
Charger mains ruin every open stage. This weapon class needs a fundamental rethink.,negative
Feels like the game isn't optimized for portable mode. Significant framerate drops.,negative
Does the game have aim assist on stick controls or is it purely manual?,neutral
How does the rank system actually work? I won 5 in a row and barely moved up.,neutral
Is there a good Discord server for finding ranked teammates?,neutral
Why can't I use certain gear with certain weapon types? The restriction makes no sense.,negative
Tower control is frustrating but when you win a close one it is the BEST feeling.,positive
Won a Splatfest on the last day with the biggest comeback I've ever seen. Pure adrenaline.,positive
Is the Tableturf Battle story mode worth completing?,neutral
What time zone does the map rotation reset follow? I can never figure it out.,neutral
What's the best way to practice without burning through ranked points?,neutral
Does anyone have tips for improving at Splat Zones? I always seem to lose the zone when I try to push.,neutral
Nintendo takes too long to address balance issues. Other competitive games patch weekly.,negative
Just clutched a ranked match 1v3 with Inkjet. Still shaking. This game is so good.,positive
The new weapon kit is terrible. They gave it a useless sub and a bad special.,negative
Salmon Run NEVER gives me the weapon I want. RNG is the enemy of fun.,negative
The Trizooka feels amazing since the last patch. Chargers beware lol,positive
Can't find a match in less than 3 minutes during off-peak hours. Dead game hours.,negative
Is Clam Blitz mode beginner-friendly or should I wait until I'm better at the game?,neutral
My ranked team keeps getting rolled in the last 30 seconds. The comeback mechanic needs a look.,negative
My win rate dropped 20% after the patch. Something is wrong with the servers.,negative
Matchmaking put me against a full S+50 team when I'm B rank. This is ridiculous.,negative
Ink Vac saved my entire team in the last second of overtime. I screamed out loud.,positive
